Label,Amount,Direction,Open price,Close price,Profit/Loss,Profit/Loss in pips,Open date,Close date,Comment
nextDay_BUY_2694,0.8,BUY,1.50891,1.51148,2056,25.7,2/28/2008 8:33,2/28/2008 13:11,
nextDay_BUY_2695,0.001,BUY,1.50891,1.51148,2.57,25.7,2/28/2008 8:33,2/28/2008 13:11,
nextDay_BUY_2696,1.6,BUY,1.50891,1.51148,4112,25.7,2/28/2008 8:33,2/28/2008 13:11,
nextDay_BUY_2697,0.001,BUY,1.50891,1.51148,2.57,25.7,2/28/2008 8:33,2/28/2008 13:11,
nextDay_SELL_2698,0.32,SELL,1.51148,1.51849,-2243.2,-70.1,2/28/2008 13:11,2/28/2008 16:11,
nextDay_SELL_2699,0.001,SELL,1.51148,1.51849,-7.01,-70.1,2/28/2008 13:11,2/28/2008 16:11,
nextDay_SELL_2700,0.32,SELL,1.51148,1.51849,-2243.2,-70.1,2/28/2008 13:11,2/28/2008 16:11,
nextDay_SELL_2701,0.001,SELL,1.51148,1.51849,-7.01,-70.1,2/28/2008 13:11,2/28/2008 16:11,
nextDay_BUY_2702,0.01,BUY,1.51813,1.51854,4.1,4.1,2/29/2008 4:31,2/29/2008 16:11,
nextDay_BUY_2703,0.001,BUY,1.51813,1.51854,0.41,4.1,2/29/2008 4:31,2/29/2008 16:11,
nextDay_BUY_2704,0.21,BUY,1.51713,1.51854,296.1,14.1,2/29/2008 11:13,2/29/2008 16:11,
nextDay_BUY_2705,0.001,BUY,1.51713,1.51854,1.41,14.1,2/29/2008 11:13,2/29/2008 16:11,
nextDay_BUY_2706,0.42,BUY,1.51713,1.51854,592.2,14.1,2/29/2008 11:13,2/29/2008 16:11,
nextDay_BUY_2707,0.001,BUY,1.51713,1.51854,1.41,14.1,2/29/2008 11:13,2/29/2008 16:11,
nextDay_BUY_2708,0.04,BUY,1.51912,1.52183,108.4,27.1,3/4/2008 4:31,3/4/2008 16:11,
nextDay_BUY_2709,0.001,BUY,1.51912,1.52183,2.71,27.1,3/4/2008 4:31,3/4/2008 16:11,
nextDay_SELL_2710,0.12,SELL,1.5181,1.52198,-465.6,-38.8,3/4/2008 6:47,3/4/2008 16:11,
nextDay_SELL_2711,0.001,SELL,1.5181,1.52198,-3.88,-38.8,3/4/2008 6:47,3/4/2008 16:11,
nextDay_SELL_2712,0.24,SELL,1.5181,1.52198,-931.2,-38.8,3/4/2008 6:47,3/4/2008 16:11,
nextDay_SELL_2713,0.001,SELL,1.5181,1.52198,-3.88,-38.8,3/4/2008 6:47,3/4/2008 16:11,
nextDay_BUY_2714,0.48,BUY,1.51922,1.52183,1252.8,26.1,3/4/2008 8:47,3/4/2008 16:11,
nextDay_BUY_2715,0.001,BUY,1.51922,1.52183,2.61,26.1,3/4/2008 8:47,3/4/2008 16:11,
nextDay_BUY_2716,0.96,BUY,1.51922,1.52183,2505.6,26.1,3/4/2008 8:47,3/4/2008 16:11,
nextDay_BUY_2717,0.001,BUY,1.51922,1.52183,2.61,26.1,3/4/2008 8:47,3/4/2008 16:11,
nextDay_BUY_2718,0.18,BUY,1.52057,1.52183,226.8,12.6,3/4/2008 13:58,3/4/2008 16:11,
nextDay_BUY_2719,0.001,BUY,1.52057,1.52183,1.26,12.6,3/4/2008 13:58,3/4/2008 16:11,
nextDay_BUY_2720,0.18,BUY,1.52057,1.52183,226.8,12.6,3/4/2008 13:58,3/4/2008 16:11,
nextDay_BUY_2721,0.001,BUY,1.52057,1.52183,1.26,12.6,3/4/2008 13:58,3/4/2008 16:11,
nextDay_SELL_2722,0.01,SELL,1.52755,1.53215,-46,-46,3/6/2008 4:31,3/6/2008 11:07,
nextDay_SELL_2723,0.01,SELL,1.53805,1.5417,-36.5,-36.5,3/7/2008 4:31,3/7/2008 13:52,
nextDay_BUY_2724,0.09,BUY,1.53959,1.53558,-360.9,-40.1,3/7/2008 9:52,3/7/2008 16:11,
nextDay_SELL_2725,0.02,SELL,1.5357,1.53975,-81,-40.5,3/11/2008 3:31,3/11/2008 10:00,
nextDay_BUY_2726,0.065,BUY,1.53666,1.53959,190.45,29.3,3/11/2008 5:47,3/11/2008 10:00,
nextDay_BUY_2727,0.13,BUY,1.53666,1.53959,380.9,29.3,3/11/2008 5:47,3/11/2008 10:00,
nextDay_SELL_2728,0.25,SELL,1.53559,1.53975,-1040,-41.6,3/11/2008 7:49,3/11/2008 10:00,
nextDay_SELL_2729,0.5,SELL,1.53559,1.53975,-2080,-41.6,3/11/2008 7:49,3/11/2008 10:00,
nextDay_SELL_2730,0.01,SELL,1.5582,1.55435,38.5,38.5,3/13/2008 3:31,3/13/2008 6:59,
